c Rsat version 3.01
c Random seed = 91648253
c +----+-----------------+------------------+----------------------------------+---------------------------+---------+---------------------+
c | Re | Conflicts       | Original         | Learned                          | Decisions                 |  Time   | KB                  |
c | 1705 | 4085169 4085171 |   33221    69612 | 2155021   53077  1246465    23.5 |    3615   12910.71  0.567 |   0.280 |    0    0    0    0 |(+ 0,- 0)
c | 1706 | 4089267 4089267 |   33221    69612 | 2155021   57173  1396234    24.4 |    5743    7976.39  0.713 |   0.720 |    0    0    0    0 |(+ 0,- 0)
c | 1707 | 4089779 4089779 |   33221    69612 | 2155021   57685  1414232    24.5 |     741    7410.00  0.691 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1708 | 4090291 4090292 |   33221    69612 | 2155021   58198  1433649    24.6 |     901   11262.50  0.569 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1709 | 4091316 4091318 |   33221    69612 | 2155021   59224  1468927    24.8 |    1454    9087.50  0.706 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1710 | 4091830 4091830 |   33221    69612 | 2155021   59736  1486450    24.9 |     676    5633.33  0.757 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1711 | 4092342 4092343 |   33221    69612 | 2155021   60249  1503825    25.0 |     674    8425.00  0.761 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1712 | 4093367 4093368 |   33221    69612 | 2155021   61274  1554056    25.4 |    1699    9438.89  0.603 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 1713 | 4095416 4095416 |   33221    69612 | 2155021   63322  1652249    26.1 |    3058    8494.44  0.670 |   0.360 |    0    0    0    0 |(+ 0,- 0)
c | 1714 | 4095928 4095928 |   33221    69612 | 2155021   63834  1673791    26.2 |     920   11500.00  0.557 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1715 | 4096440 4096440 |   33221    69612 | 2155021   64346  1698568    26.4 |     873    8730.00  0.586 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1716 | 4097464 4097464 |   33221    69612 | 2155021   65370  1744740    26.7 |    1579    7895.00  0.649 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 1717 | 4097976 4097979 |   33221    69612 | 2155021   65885  1763604    26.8 |     794    9925.00  0.649 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1718 | 4098491 4098491 |   33221    69612 | 2155021   66397  1785338    26.9 |     712    5933.33  0.719 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1719 | 4099515 4099515 |   33221    69612 | 2155021   67421  1823825    27.1 |    1437    7983.33  0.713 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 1720 | 4101563 4101565 |   33221    69612 | 2155021   69471  1900592    27.4 |    2820    8294.12  0.727 |   0.340 |    0    0    0    0 |(+ 0,- 0)
c | 1721 | 4105661 4105664 |   33221    69612 | 2155021   73570  2074715    28.2 |    6554    9638.24  0.625 |   0.680 |    0    0    0    0 |(+ 0,- 0)
c | 1722 | 4113856 4113856 |   33221    69612 | 2155021   81762  2401218    29.4 |   11807    7568.59  0.694 |   1.560 |    0    0    0    0 |(+ 0,- 0)
c | 1723 | 4130240 4130242 |   33221    69612 | 2155021   98148  3096825    31.6 |   23480    6670.45  0.698 |   3.520 |    0    0    0    0 |(+ 0,- 0)
c | 1724 | 4130754 4130754 |   33221    69612 | 2155021   98660  3114651    31.6 |     680    5666.67  0.753 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1725 | 4131266 4131266 |   33221    69612 | 2155021   99172  3135881    31.6 |     828    5914.29  0.618 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1726 | 4132290 4132291 |   33221    69612 | 2155021  100197  3170768    31.6 |    1954   12212.50  0.525 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1727 | 4132803 4132805 |   33221    69612 | 2155021  100711  3193248    31.7 |    1308   21800.00  0.393 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1728 | 4133317 4133318 |   33221    69612 | 2155021  101224  3215376    31.8 |     810    6750.00  0.633 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1729 | 4134342 4134344 |   33221    69612 | 2155021  102250  3251170    31.8 |    1747    9705.56  0.587 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 1730 | 4136392 4136394 |   33221    69612 | 2155021  104300  3346097    32.1 |    4486   28037.50  0.457 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1731 | 4136906 4136907 |   33221    69612 | 2155021  104813  3363261    32.1 |    1264   21066.67  0.406 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1732 | 4137419 4137419 |   33221    69612 | 2155021  105325  3385670    32.1 |     639    4564.29  0.801 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1733 | 4138443 4138444 |   33221    69612 | 2155021  106350  3422754    32.2 |    1815   15125.00  0.565 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1734 | 4138956 4138956 |   33221    69612 | 2155021  106862  3443768    32.2 |     982    5455.56  0.521 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 1735 | 4139468 4139468 |   33221    69612 | 2155021  107374  3462206    32.2 |     820    5125.00  0.624 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1736 | 4140492 4140494 |   33221    69612 | 2155021  108400  3505327    32.3 |    1721    7170.83  0.596 |   0.240 |    0    0    0    0 |(+ 0,- 0)
c | 1737 | 4142542 4142542 |   33221    69612 | 2155021  110448  3577347    32.4 |    4051   10660.53  0.506 |   0.380 |    0    0    0    0 |(+ 0,- 0)
c | 1738 | 4146638 4146638 |   33221    69612 | 2155021  114544  3760984    32.8 |    9242   27182.35  0.443 |   0.340 |    0    0    0    0 |(+ 0,- 0)
c | 1739 | 4147150 4147151 |   33221    69612 | 2155021  115057  3785514    32.9 |    1101   27525.00  0.466 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 1740 | 4147663 4147663 |   33221    69612 | 2155021  115569  3805897    32.9 |    1018   25450.00  0.503 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 1741 | 4148687 4148687 |   33221    69612 | 2155021  116593  3843950    33.0 |    1950   19500.00  0.525 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1742 | 4149199 4149199 |   33221    69612 | 2155021  117105  3861631    33.0 |     839   20975.00  0.610 |   0.040 |    0    0    0    0 |(+ 0,- 0)
c | 1743 | 4149711 4149711 |   33221    69612 | 2155021  117617  3879931    33.0 |     873   14550.00  0.586 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1744 | 4150735 4150735 |   33221    69612 | 2155021  118641  3926635    33.1 |    2311   23110.00  0.443 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1745 | 4152783 4152784 |   33221    69612 | 2155021  120690  4005934    33.2 |    3613   15054.17  0.567 |   0.240 |    0    0    0    0 |(+ 0,- 0)
c | 1746 | 4153296 4153296 |   33221    69612 | 2155021  121202  4023384    33.2 |     878   14633.33  0.583 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1747 | 4153808 4153808 |   33221    69612 | 2155021  121714  4039056    33.2 |     804   13400.00  0.637 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1748 | 4154832 4154835 |   33221    69612 | 2155021  122741  4083378    33.3 |    1700    8500.00  0.604 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 1749 | 4155347 4155348 |   33221    69612 | 2155021  123254  4105291    33.3 |     872    5450.00  0.588 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1750 | 4155860 4155861 |   33221    69612 | 2155021  123767  4123928    33.3 |     887    6335.71  0.578 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1751 | 4156885 4156886 |   33221    69612 | 2155021  124792  4160370    33.3 |    1535    5482.14  0.668 |   0.280 |    0    0    0    0 |(+ 0,- 0)
c | 1752 | 4158934 4158934 |   33221    69612 | 2155021  126840  4225248    33.3 |    2464    4248.28  0.831 |   0.580 |    0    0    0    0 |(+ 0,- 0)
c | 1753 | 4163030 4163032 |   33221    69612 | 2155021  130938  4426086    33.8 |    7788   14976.92  0.526 |   0.520 |    0    0    0    0 |(+ 0,- 0)
c | 1754 | 4171224 4171225 |   33221    69612 | 2155021  139131  4741675    34.1 |   15005   19743.42  0.546 |   0.760 |    0    0    0    0 |(+ 0,- 0)
c | 1755 | 4171737 4171737 |   33221    69612 | 2155021  139643  4764868    34.1 |    1173   19550.00  0.436 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1756 | 4172249 4172249 |   33221    69612 | 2155021  140155  4788504    34.2 |    1116   18600.00  0.459 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1757 | 4173273 4173276 |   33221    69612 | 2155021  141182  4826184    34.2 |    1791   17910.00  0.573 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1758 | 4173788 4173789 |   33221    69612 | 2155021  141695  4853873    34.3 |    1097   18283.33  0.468 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1759 | 4174301 4174301 |   33221    69612 | 2155021  142207  4874138    34.3 |    1014   16900.00  0.505 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1760 | 4175325 4175325 |   33221    69612 | 2155021  143231  4911054    34.3 |    1789   12778.57  0.572 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1761 | 4177373 4177377 |   33221    69612 | 2155021  145283  4993963    34.4 |    4068   18490.91  0.504 |   0.220 |    0    0    0    0 |(+ 0,- 0)
c | 1762 | 4177889 4177891 |   33221    69612 | 2155021  145797  5011046    34.4 |     986   16433.33  0.521 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1763 | 4178403 4178406 |   33221    69612 | 2155021  146312  5035552    34.4 |    1140   19000.00  0.452 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1764 | 4179430 4179430 |   33221    69612 | 2155021  147336  5070285    34.4 |    2048   17066.67  0.500 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1765 | 4179942 4179942 |   33221    69612 | 2155021  147848  5086966    34.4 |     860   10750.00  0.595 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1766 | 4180454 4180456 |   33221    69612 | 2155021  148362  5102145    34.4 |     769    9612.50  0.668 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1767 | 4181480 4181483 |   33221    69612 | 2155021  149389  5137681    34.4 |    1756    7316.67  0.585 |   0.240 |    0    0    0    0 |(+ 0,- 0)
c | 1768 | 4183531 4183531 |   33221    69612 | 2155021  151437  5222261    34.5 |    3053    4924.19  0.671 |   0.620 |    0    0    0    0 |(+ 0,- 0)
c | 1769 | 4187627 4187628 |   33221    69612 | 2155021  155534  5379847    34.6 |    6794    9436.11  0.603 |   0.720 |    0    0    0    0 |(+ 0,- 0)
c | 1770 | 4188140 4188140 |   33221    69612 | 2155021  156046  5399073    34.6 |     807   10087.50  0.634 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1771 | 4188652 4188653 |   33221    69612 | 2155021  156559  5424421    34.6 |    1224   15300.00  0.419 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1772 | 4189677 4189677 |   33221    69612 | 2155021  157583  5462842    34.7 |    1934   12087.50  0.529 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1773 | 4190189 4190190 |   33221    69612 | 2155021  158096  5488835    34.7 |     968   12100.00  0.530 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1774 | 4190702 4190703 |   33221    69612 | 2155021  158609  5505148    34.7 |     810   13500.00  0.633 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1775 | 4191727 4191728 |   33221    69612 | 2155021  159634  5536172    34.7 |    1677   10481.25  0.611 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1776 | 4193776 4193776 |   33221    69612 | 2155021  161682  5615827    34.7 |    3180   10600.00  0.644 |   0.300 |    0    0    0    0 |(+ 0,- 0)
c | 1777 | 4194288 4194288 |   33221    69612 | 2155021  162194  5634007    34.7 |    1226   20433.33  0.418 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1778 | 4194800 4194801 |   33221    69612 | 2155021  162707  5652138    34.7 |     947   11837.50  0.542 |   0.080 |    0    0    0    0 |(+ 0,- 0)
c | 1779 | 4195825 4195825 |   33221    69612 | 2155021  163731  5702481    34.8 |    2227   15907.14  0.460 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1780 | 4196337 4196338 |   33221    69612 | 2155021  164244  5720440    34.8 |     869   14483.33  0.590 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1781 | 4196850 4196850 |   33221    69612 | 2155021  164756  5738299    34.8 |     907   15116.67  0.564 |   0.060 |    0    0    0    0 |(+ 0,- 0)
c | 1782 | 4197874 4197874 |   33221    69612 | 2155021  165780  5777881    34.9 |    1873   18730.00  0.547 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1783 | 4199922 4199924 |   33221    69612 | 2155021  167830  5859325    34.9 |    4369   19859.09  0.469 |   0.220 |    0    0    0    0 |(+ 0,- 0)
c | 1784 | 4204020 4204023 |   33221    69612 | 2155021  171929  6038508    35.1 |    7272   10388.57  0.564 |   0.700 |    0    0    0    0 |(+ 0,- 0)
c | 1785 | 4212215 4212217 |   33221    69612 | 2155021  180123  6372481    35.4 |   14534   11913.11  0.564 |   1.220 |    0    0    0    0 |(+ 0,- 0)
c | 1786 | 4228601 4228602 |   33221    69612 | 2155021  196508  7120142    36.2 |   25414    5775.91  0.645 |   4.400 |    0    0    0    0 |(+ 0,- 0)
c | 1787 | 4261370 4261370 |   33221    69612 | 2155021  229276  8659528    37.8 |   53980    7047.00  0.607 |   7.660 |    0    0    0    0 |(+ 0,- 0)
c | 1788 | 4326906 4326906 |   33221    69612 | 2155021  294812 11309248    38.4 |   94896    4151.18  0.691 |  22.860 |    0    0    0    0 |(+ 0,- 0)
c | 1789 | 4327418 4327418 |   33221    69612 | 2155021  295324 11328802    38.4 |     870    7250.00  0.589 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1790 | 4327930 4327930 |   33221    69612 | 2155021  295836 11346156    38.4 |     778    2992.31  0.658 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 1791 | 4328954 4328956 |   33221    69612 | 2155021  296862 11390720    38.4 |    1665    3964.29  0.616 |   0.420 |    0    0    0    0 |(+ 0,- 0)
c | 1792 | 4329468 4329469 |   33221    69612 | 2155021  297375 11409977    38.4 |     793    4405.56  0.647 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 1793 | 4329981 4329981 |   33221    69612 | 2155021  297887 11426109    38.4 |     699    2688.46  0.732 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 1794 | 4331005 4331005 |   33221    69612 | 2155021  298911 11461122    38.3 |    1365    2437.50  0.750 |   0.560 |    0    0    0    0 |(+ 0,- 0)
c | 1795 | 4333053 4333059 |   33221    69612 | 2155021  300965 11533405    38.3 |    2861    3866.22  0.718 |   0.740 |    0    0    0    0 |(+ 0,- 0)
c | 1796 | 4333571 4333574 |   33221    69612 | 2155021  301480 11552630    38.3 |     748    4675.00  0.689 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1797 | 4334086 4334087 |   33221    69612 | 2155021  301993 11567402    38.3 |     667    3031.82  0.769 |   0.220 |    0    0    0    0 |(+ 0,- 0)
c | 1798 | 4335111 4335112 |   33221    69612 | 2155021  303018 11605024    38.3 |    1553    5546.43  0.660 |   0.280 |    0    0    0    0 |(+ 0,- 0)
c | 1799 | 4335624 4335624 |   33221    69612 | 2155021  303530 11620500    38.3 |     695    2895.83  0.737 |   0.240 |    0    0    0    0 |(+ 0,- 0)
c | 1800 | 4336136 4336136 |   33221    69612 | 2155021  304042 11645869    38.3 |     824    4120.00  0.621 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 1801 | 4337160 4337160 |   33221    69612 | 2155021  305066 11689388    38.3 |    1689    6496.15  0.606 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 1802 | 4339208 4339208 |   33221    69612 | 2155021  307114 11777200    38.3 |    2961    2902.94  0.692 |   1.020 |    0    0    0    0 |(+ 0,- 0)
c | 1803 | 4343304 4343304 |   33221    69612 | 2155021  311210 11918259    38.3 |    5692    5082.14  0.720 |   1.120 |    0    0    0    0 |(+ 0,- 0)
c | 1804 | 4343816 4343816 |   33221    69612 | 2155021  311722 11943037    38.3 |     942    9420.00  0.544 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1805 | 4344328 4344329 |   33221    69612 | 2155021  312235 11965678    38.3 |    1010   10100.00  0.508 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1806 | 4345353 4345353 |   33221    69612 | 2155021  313259 12008916    38.3 |    1990    9950.00  0.515 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 1807 | 4345865 4345865 |   33221    69612 | 2155021  313771 12027256    38.3 |     816    5828.57  0.627 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1808 | 4346377 4346377 |   33221    69612 | 2155021  314283 12050373    38.3 |    1148   11480.00  0.446 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1809 | 4347401 4347401 |   33221    69612 | 2155021  315307 12094050    38.4 |    2069   12931.25  0.495 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1810 | 4349449 4349450 |   33221    69612 | 2155021  317356 12181440    38.4 |    3598    9468.42  0.569 |   0.380 |    0    0    0    0 |(+ 0,- 0)
c | 1811 | 4349962 4349963 |   33221    69612 | 2155021  317869 12197838    38.4 |     892    8920.00  0.575 |   0.100 |    0    0    0    0 |(+ 0,- 0)
c | 1812 | 4350475 4350475 |   33221    69612 | 2155021  318381 12217139    38.4 |    1125    9375.00  0.455 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1813 | 4351499 4351500 |   33221    69612 | 2155021  319406 12265687    38.4 |    1614    8966.67  0.635 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 1814 | 4352012 4352012 |   33221    69612 | 2155021  319918 12284567    38.4 |     796    6633.33  0.643 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1815 | 4352524 4352526 |   33221    69612 | 2155021  320432 12299979    38.4 |     812    6766.67  0.633 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1816 | 4353550 4353552 |   33221    69612 | 2155021  321458 12354481    38.4 |    1829    9145.00  0.561 |   0.200 |    0    0    0    0 |(+ 0,- 0)
c | 1817 | 4355600 4355601 |   33221    69612 | 2155021  323507 12431040    38.4 |    3413    7419.57  0.600 |   0.460 |    0    0    0    0 |(+ 0,- 0)
c | 1818 | 4359697 4359697 |   33221    69612 | 2155021  327603 12584665    38.4 |    5910    2383.06  0.693 |   2.480 |    0    0    0    0 |(+ 0,- 0)
c | 1819 | 4367889 4367894 |   33221    69612 | 2155021  335800 12875719    38.3 |   11204    4707.56  0.732 |   2.380 |    0    0    0    0 |(+ 0,- 0)
c | 1820 | 4368406 4368406 |   33221    69612 | 2155021  336312 12893137    38.3 |     748    4155.56  0.684 |   0.180 |    0    0    0    0 |(+ 0,- 0)
c | 1821 | 4368918 4368919 |   33221    69612 | 2155021  336825 12913924    38.3 |     783    2446.88  0.655 |   0.320 |    0    0    0    0 |(+ 0,- 0)
c | 1822 | 4369943 4369944 |   33221    69612 | 2155021  337850 12952676    38.3 |    1477    3356.82  0.694 |   0.440 |    0    0    0    0 |(+ 0,- 0)
c | 1823 | 4370456 4370457 |   33221    69612 | 2155021  338363 12971400    38.3 |     933    5831.25  0.550 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1824 | 4370969 4370969 |   33221    69612 | 2155021  338875 12991260    38.3 |     723    3286.36  0.708 |   0.220 |    0    0    0    0 |(+ 0,- 0)
c | 1825 | 4371993 4371994 |   33221    69612 | 2155021  339900 13024135    38.3 |    1364    2200.00  0.751 |   0.620 |    0    0    0    0 |(+ 0,- 0)
c | 1826 | 4374042 4374042 |   33221    69612 | 2155021  341948 13108751    38.3 |    2718    3160.47  0.753 |   0.860 |    0    0    0    0 |(+ 0,- 0)
c | 1827 | 4374554 4374557 |   33221    69612 | 2155021  342463 13127578    38.3 |     684    2011.76  0.753 |   0.340 |    0    0    0    0 |(+ 0,- 0)
c | 1828 | 4375069 4375069 |   33221    69612 | 2155021  342975 13143681    38.3 |     619    1934.38  0.827 |   0.320 |    0    0    0    0 |(+ 0,- 0)
c | 1829 | 4376093 4376093 |   33221    69612 | 2155021  343999 13180276    38.3 |    1789    6880.77  0.572 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 1830 | 4376605 4376605 |   33221    69612 | 2155021  344511 13197893    38.3 |     886    5537.50  0.578 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1831 | 4377117 4377117 |   33221    69612 | 2155021  345023 13216306    38.3 |     926    3086.67  0.553 |   0.300 |    0    0    0    0 |(+ 0,- 0)
c | 1832 | 4378141 4378141 |   33221    69612 | 2155021  346047 13278147    38.4 |    1494    3735.00  0.685 |   0.400 |    0    0    0    0 |(+ 0,- 0)
c | 1833 | 4380189 4380190 |   33221    69612 | 2155021  348096 13352797    38.4 |    3158    2979.25  0.649 |   1.060 |    0    0    0    0 |(+ 0,- 0)
c | 1834 | 4384286 4384287 |   33221    69612 | 2155021  352193 13521866    38.4 |    5871    3715.82  0.698 |   1.580 |    0    0    0    0 |(+ 0,- 0)
c | 1835 | 4384799 4384799 |   33221    69612 | 2155021  352705 13538961    38.4 |     946    3638.46  0.541 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 1836 | 4385311 4385312 |   33221    69612 | 2155021  353218 13556440    38.4 |     723    1807.50  0.710 |   0.400 |    0    0    0    0 |(+ 0,- 0)
c | 1837 | 4386336 4386338 |   33221    69612 | 2155021  354244 13596377    38.4 |    1529    3058.00  0.671 |   0.500 |    0    0    0    0 |(+ 0,- 0)
c | 1838 | 4386850 4386850 |   33221    69612 | 2155021  354756 13619777    38.4 |     826    5162.50  0.620 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1839 | 4387362 4387362 |   33221    69612 | 2155021  355268 13639405    38.4 |     791    3595.45  0.647 |   0.220 |    0    0    0    0 |(+ 0,- 0)
c | 1840 | 4388386 4388387 |   33221    69612 | 2155021  356293 13682205    38.4 |    1676    2992.86  0.612 |   0.560 |    0    0    0    0 |(+ 0,- 0)
c | 1841 | 4390435 4390435 |   33221    69612 | 2155021  358341 13753849    38.4 |    3198    4207.89  0.640 |   0.760 |    0    0    0    0 |(+ 0,- 0)
c | 1842 | 4390947 4390947 |   33221    69612 | 2155021  358853 13774387    38.4 |     767    2130.56  0.668 |   0.360 |    0    0    0    0 |(+ 0,- 0)
c | 1843 | 4391459 4391460 |   33221    69612 | 2155021  359366 13790247    38.4 |     725    2265.62  0.708 |   0.320 |    0    0    0    0 |(+ 0,- 0)
c | 1844 | 4392484 4392485 |   33221    69612 | 2155021  360391 13825235    38.4 |    1473    2630.36  0.696 |   0.560 |    0    0    0    0 |(+ 0,- 0)
c | 1845 | 4392997 4392999 |   33221    69612 | 2155021  360905 13841808    38.4 |     856    5350.00  0.600 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1846 | 4393511 4393513 |   33221    69612 | 2155021  361419 13860582    38.4 |     869    7241.67  0.591 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1847 | 4394537 4394537 |   33221    69612 | 2155021  362443 13901565    38.4 |    2132    7614.29  0.480 |   0.280 |    0    0    0    0 |(+ 0,- 0)
c | 1848 | 4396585 4396585 |   33221    69612 | 2155021  364491 13987256    38.4 |    2877    3345.35  0.712 |   0.860 |    0    0    0    0 |(+ 0,- 0)
c | 1849 | 4400681 4400681 |   33221    69612 | 2155021  368587 14146407    38.4 |    5585    2366.53  0.733 |   2.360 |    0    0    0    0 |(+ 0,- 0)
c | 1850 | 4408873 4408875 |   33221    69612 | 2155021  376781 14485260    38.4 |   11613    2675.81  0.706 |   4.340 |    0    0    0    0 |(+ 0,- 0)
c | 1851 | 4425259 4425259 |   33221    69612 | 2155021  393165 15129250    38.5 |   26029    4948.48  0.629 |   5.260 |    0    0    0    0 |(+ 0,- 0)
c | 1852 | 4425771 4425772 |   33221    69612 | 2155021  393678 15151097    38.5 |     964    6885.71  0.532 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1853 | 4426284 4426284 |   33221    69612 | 2155021  394190 15171775    38.5 |     833    5950.00  0.615 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1854 | 4427308 4427308 |   33221    69612 | 2155021  395214 15218350    38.5 |    1708    5023.53  0.600 |   0.340 |    0    0    0    0 |(+ 0,- 0)
c | 1855 | 4427820 4427820 |   33221    69612 | 2155021  395726 15237033    38.5 |     809    3370.83  0.633 |   0.240 |    0    0    0    0 |(+ 0,- 0)
c | 1856 | 4428332 4428332 |   33221    69612 | 2155021  396238 15260004    38.5 |     919    5743.75  0.557 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1857 | 4429356 4429359 |   33221    69612 | 2155021  397265 15298006    38.5 |    1689    3518.75  0.608 |   0.480 |    0    0    0    0 |(+ 0,- 0)
c | 1858 | 4431407 4431407 |   33221    69612 | 2155021  399313 15376394    38.5 |    3381    4334.62  0.606 |   0.780 |    0    0    0    0 |(+ 0,- 0)
c | 1859 | 4431919 4431920 |   33221    69612 | 2155021  399826 15402093    38.5 |     889    6350.00  0.577 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1860 | 4432432 4432433 |   33221    69612 | 2155021  400339 15419690    38.5 |     849    6064.29  0.604 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1861 | 4433457 4433458 |   33221    69612 | 2155021  401364 15462186    38.5 |    1467    4890.00  0.699 |   0.300 |    0    0    0    0 |(+ 0,- 0)
c | 1862 | 4433970 4433971 |   33221    69612 | 2155021  401877 15481786    38.5 |    1022    3930.77  0.502 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 1863 | 4434483 4434484 |   33221    69612 | 2155021  402390 15498017    38.5 |     904    3476.92  0.567 |   0.260 |    0    0    0    0 |(+ 0,- 0)
c | 1864 | 4435508 4435508 |   33221    69612 | 2155021  403414 15541638    38.5 |    1621    2794.83  0.632 |   0.580 |    0    0    0    0 |(+ 0,- 0)
c | 1865 | 4437556 4437556 |   33221    69612 | 2155021  405462 15622713    38.5 |    3150    3028.85  0.650 |   1.040 |    0    0    0    0 |(+ 0,- 0)
c | 1866 | 4441652 4441653 |   33221    69612 | 2155021  409559 15790062    38.6 |    6482    5064.06  0.632 |   1.280 |    0    0    0    0 |(+ 0,- 0)
c | 1867 | 4442165 4442165 |   33221    69612 | 2155021  410071 15806056    38.5 |     942    6728.57  0.544 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1868 | 4442677 4442677 |   33221    69612 | 2155021  410583 15824508    38.5 |     956    6828.57  0.536 |   0.140 |    0    0    0    0 |(+ 0,- 0)
c | 1869 | 4443701 4443703 |   33221    69612 | 2155021  411609 15862168    38.5 |    1593    5689.29  0.644 |   0.280 |    0    0    0    0 |(+ 0,- 0)
c | 1870 | 4444215 4444215 |   33221    69612 | 2155021  412121 15879971    38.5 |     869    5431.25  0.589 |   0.160 |    0    0    0    0 |(+ 0,- 0)
c | 1871 | 4444727 4444727 |   33221    69612 | 2155021  412633 15898222    38.5 |    1014    8450.00  0.505 |   0.120 |    0    0    0    0 |(+ 0,- 0)
c | 1872 | 4445751 4445753 |   33221    69612 | 2155021  413659 15942326    38.5 |    1776    5920.00  0.578 |   0.300 |    0    0    0    0 |(+ 0,- 0)
